Ticker,"IPO 
Trading 
Date",Lockup 1,Lockup 2,Lockup 3
VERI,5/12/2017,11/8/2017,  8/10/2017,
FPH,5/10/2017,11/6/2017,,
GNTY,5/18/1998,,,
OVID,5/5/2017,11/1/2017,,
KREF,5/5/2017,11/1/2017,,
AMGP,,,,
URGN,5/4/2017,10/31/2017,,
BHVN,5/4/2017,10/31/2017,,
ZYME,4/28/2017,10/25/2017,,
CVNA,4/28/2017,10/25/2017,,
XRF,4/28/2017,10/25/2017,,
CLDR,4/28/2017,10/25/2017,,
EEX,4/28/2017,10/25/2017,,
NCSM,4/28/2017,10/25/2017,,
FND,,1/1/2001,,
WTTR,4/21/2017,10/18/2017,,
HCC,4/13/2017,10/10/2017,,
CADE,4/13/2017,10/10/2017,,
TOCA,4/13/2017,10/10/2017,,
YEXT,4/13/2017,10/10/2017,,
NETS,4/12/2017,10/9/2017,,
AZUL,,1/1/2001,,
ELVT,4/6/2017,10/3/2017,,
OKTA,4/7/2017,10/4/2017,,
SNDR,4/6/2017,10/3/2017,,
HESM,,,,
AYX,3/24/2017,9/20/2017,,
MULE,3/17/2017,9/13/2017,,
PUMP,3/17/2017,9/13/2017,,
ARD,3/15/2017,9/11/2017,,
PSDO,3/10/2017,9/6/2017,,
JILL,3/9/2017,9/5/2017,,
SNAP,3/2/2017,3/2/2018,  8/29/2017,  7/29/2017
HLNE,3/1/2017,8/28/2017,,
FBM,2/10/2017,8/9/2017,,
CLPR,2/10/2017,8/9/2017,,
KRP,2/3/2017,8/2/2017,,
METC,2/3/2017,8/2/2017,,
LAUR,2/1/2017,7/31/2017,,
INVH,2/1/2017,7/31/2017,,
JAG,1/27/2017,7/26/2017,,
REVG,1/27/2017,7/26/2017,,
JNCE,1/27/2017,7/26/2017,,
JELD,1/27/2017,7/26/2017,  5/15/2017,
ANAB,1/26/2017,7/25/2017,,
OBSV,1/26/2017,7/25/2017,,
FB,5/18/2012,8/16/2012,,
